form	sentence_1	sentence_2	label
A-hold	De, der er på det såkaldte A-hold, glemmer for ofte, at vi ikke alle er lige stærkt udrustede	Klubbens A-hold tabte finalekampen i A-rækken til Marienlyst, men er klar til de næste udfordringer	0
ADHD	De hyperaktive, impulsive og uopmærksomme børn, som går under diagnosen ADHD, klarer sig meget dårligt som voksne. Næsten halvdelen bliver kriminelle, og de har en voldsom overhyppighed af psykiatriske indlæggelser og tvangsindlæggelser	for tidlig fødsel kan være med til at udløse ADHD både hos de børn, som er genetisk disponerede og hos de børn, hvor det ikke er tilfældet	1
C	populære programmeringssprog som PASCAL og C har fået indbygget objekt-orienteret programmering	Læreren spiller 8 slag .. på xylofon op ad tonerækken fra første tone C	0
EU-sprog	Folkepension regnes simpelthen for en handelshindring, som det hedder i EU-sprog	Opgaven viste sig vanskelig, fordi mange forslag ikke umiddelbart kunne oversættes til alle de nuværende 11 EU-sprog	0
X	Hun fulgte efter fru X hen ad gangen, ind i et af værelserne	MEXX-navnet er en kombination af forbogstaverne på Chadhas tidligere mærkevarer Moustache og Emanuelle tilsat to store Xer	0
abdicere	Edward 8. var abdiceret på grund af sit kærlighedsforhold til Mrs. Wallis Simpson	DBUs formand, Hans Erik Jensen, tvinges efter al sandsynlighed til at abdicere i dag	0
abe	han trådte helt hen til Uffe og holdt en knytnæve op foran ham. -- Ska du ha tæsk, din lille abe	Erhvervsministeren afviser beskyldninger om nøl i Dankort-sagen. Derimod sender han aben videre til bankerne, som han beskylder for at være for grådige	0
absolut	Hendes omgang med følelser minder om opera, hvor følelserne udmejsles i absolutter, enten-eller	det er nødvendigt med et absolut atomprøvestop på globalt plan	0
accelerere	Acceleratoren kan i et 600 meter langt cirkulært rør accelerere ladede partikler op til enorme hastigheder	der er en tendens til at volden mod kvinder accelererer i øjeblikket	0
adgang	Det eneste rigtige er naturligvis at kontrollere billetter og kort ved adgangen til perronerne	I fem uger om efteråret har publikum adgang til parken	0
adlyde	soldatens første pligt er at adlyde enhver lovlig ordre	drømme adlyder kun deres egen logik	0
administration	lad os dele kommunen op i mindre enheder. Mindre enheder er lettere at overskue for både administration, politikere og borgere	Under den kolde krig støttede skiftende amerikanske administrationer ihærdigt Jugoslaviens selvstændighed	0
administration	Jeg var kontorbud, bogholder, lagerforvalter ... faktisk den eneste ansatte i administrationen	Pladsanvisningen varetager administrationen af ventelisterne	0
administrator	i stillingen som Nationalmuseets administrator har 45-årige Chr. S. Nissen .. ikke vist nogen udpræget svaghed for medarbejderindflydelse	Den rødhårede frøken .. har ry som en bemærkelsesværdig producer og promotor samt en benhård administrator	0
adressat	Der er travlhed på posthuset .. i disse dage. De mange julebreve skal ud til adressaten inden jul	Lederartiklen har to adressater: 1) Avisens læsere i bred almindelighed, 2) .. beslutningstagere, f.eks. politikere og embedsmænd	0
adressere	Brevet var adresseret til mig, jeg tror det kom på min femårs fødselsdag	hver af deltagerne får et skud, men det skal være et gæt, og man må adressere det til hvem som helst i panelet	0
adskillelse	det kunne tyde på, at karret før adskillelsen har været længe i brug	Jeg tog til Paris for at se Michel igen efter fire års adskillelse	0
advare	Da Gud havde skabt Adam, advarede han ham .. mod at spise æblerne på Kundskabens Træ	Politiet har advaret om, at det vil slå til over for demonstrationer, der ikke er lovligt varslet	0
advare	hendes mor havde advaret hende mod mænd og deres falskhed	Amerikanske myndigheder advarede i 1985 om problemer med isoleringen i A-værker	1
advarsel	en mand med irsk accent indtelefonerede en advarsel ca. 40 minutter inden bombesprængningen	Mange af oprørerne blev halshugget. Deres hoveder blev udstillet på pæle som en advarsel for andre	0
afbilde	For at få et godt overblik over sammenhørende variable, afbilder man dem ofte i et koordinatsystem	Røde Kors generalsekretær Eigil Pedersen er afbildet på det 8 x 12 meter store maleri	0
afblege	På Københavns Universitet antog opgøret : ungdomsoprøret en stærkt afbleget form	I 3. g. blev Lone stor fan af Madonna, så hun valgte at få sit hår afbleget	0
afdeling	Koncertens første del rummer værker af bl.a. Waldteufel og Lumbye, mens anden afdeling fyldes af Johann Strauss	Fra spisestuen har man et fint kig ind på endnu en spiseplads, nemlig en lille afdeling i dagligstuen	0
afdrag	Kontokortene er overtrukket og afdragene på banklånene er ikke betalt. Så siger banken stop	forhandlerne har kunnet sikre nye vilkår for afdrag af landets kæmpegæld	0
