form	sentence_1	sentence_2	label
afbryde	Alarmen kan afbrydes ved at kortslutte kondensatoren et øjeblik ved hjælp af en ledning	hun ved, at Jesper er en god lytter, der sjældent afbryder	0
afdække	han begyndte at klæde sig af og .. afdækkede en slank og i høj grad velplejet mandskrop	Ved maling af paneler kan gulvet afdækkes med et stykke karton	0
afgang	Der har i dag været forlydender fra Moskva om, at Gorbatjov forbereder sin afgang	selv om der var flere timer til aftentogets afgang, så sad hun allerede parat og rejseklar	0
afgift	Det sundhedsmæssige kan forklare afgifterne på øl, spiritus og tobak. Hensynet til betalingsbalance og ressourcer ligger bag afgifterne på biler, benzin og andre former for energi, charterrejser o.l.	Hvis der betales med et Dankort, betaler .. du som kunde en afgift, og derudover betaler sælgeren en noget større afgift	0
afgørelse	efter en målløs første halvleg kom afgørelsen tre minutter efter pausen	Som afgørelse på et væddemål, vil jeg gerne have oplyst datoen for hans fødselsdag	1
afhængig	Han kan intet selv. Han er totalt afhængig af andre mennesker	regeringen har ikke gjort sig afhængig af Fremskridtspartiets stemmer	1
aflevere	De måtte aflevere deres personlige ejendele og blev iført fængslets arbejdstøj	Hun fik 75 øre om dagen, men skulle aflevere hele lønnen til far	1
aflæse	skredet i samfundsmoralen kan aflæses i de mange danskere, der snyder i skat	Jeg bliver ihærdigt ved med at vride og vende læberne i håb om at han kan aflæse mine mundbevægelser	1
afløb	næsedråber .. får slimhindehævelsen til at aftage, så afløbet fra bihulerne bedres	Gå ud og hug noget brænde. Så får du afløb for din hidsighed	1
afskrift	Logbogen, som vi kun kender i datidens form for fotokopi, -- afskriften, -- viser os flere sider af mennesket Columbus	Lars har ofte været klassens kilde til afskrift	0
afskærme	Nærmest huset ligger solterrassen afskærmet fra nysgerrige blikke af den tætklippede bambushæk	Mellem bruser og håndvask afskærmes med en speciallavet plade i råglas	1
afslappet	Jeg har et afslappet forhold til min egen død, takket være et rigt liv	Hun kan nemmere tage børnepasningen afslappet, mens jeg let bliver stresset	1
afsløre	politiet afslørede en større hælerring	Den optimistiske, tilforladelige landsfader afsløres som et menneske med en belastende karakterbrist	1
afsætte	Hver gang du ind- eller afspiller et bånd, afsættes der båndstøv på videohoveder, trykruller og løbeværk	I 1988 var der på statsbudgettet afsat 13,5 milliarder kr. til det danske forsvar	1
afvise	Teglets funktion var at afvise regnen og beskytte bygningens trækonstruktion mod råd og svamp	Regeringen var ikke afvisende over for at indgå forlig med S og RV	0
agt	når han som ministerpræsident for Bayern behandlede sin forbundspræsident med passende agt, kunne de både tale sammen og spøge sammen	Det er parrets agt etapevis at renovere den gamle ejendom	0
akkord	Murerne havde .. forhandlet sig frem til en ny akkord	Ved en akkord kan man nå frem til en ordning med kreditorerne, så kravenes størrelse nedsættes, forfaldstid udskydes og måske en eventuel retsgæld bortfalder	1
alverden	Den 19. juli 1981 blev parret gift, og alverden så kronprinsen give sin udkårne et kys på en af balkonerne på Buckingham Palace	I sidste uge forhandlede alverdens lande om en redningsplan for det skrantende ozonlag	1
ane	Slottet anes svagt i månelyset	Skønt Yol er en dyster film, er den ikke tungsindig. Man aner en livsglæde og et håb	1
anerkende	han anerkendes for sin evne til at formulere sig og få en idé	Du bliver en yndig brud, sagde Anders anerkendende	1
anfald	Hvis du benytter pollentallene, kan du måske forebygge dine anfald af høfeber	Han får et anfald af hikke	1
angive	De mest forhadte danskere under besættelsen var stikkerne .. De havde angivet frihedskæmpere til tyskerne	lægen havde på dødsattesten angivet lynnedslag som dødsårsagen	0
anklage	Sagen begyndte i går i Østre Landsret, hvor en nu 22-årig mand står anklaget for at have kvalt kvinden	en rimeligt begrundet tvivl skal altid komme den anklagede til gode	1
anmodning	Hvis du vil søge støtte, skal du sende styrelsen en anmodning om at få uddannelsen godkendt som støtteberettiget	Medlemmernes sommerferie er efter anmodning fra statsministeren udskudt	0
ansigtsmaske	en ansigtsmaske er en fantastisk god skønhedskur .. Der findes lermasker, fugtighedsmasker, rensemasker .. alt efter hvad huden har brug for	Han udførte operationen iført sterile handsker og kirurgisk ansigtsmaske	0
apokalypse	Alt er isnende klart, systematiseret og programmeret ind i en grusomhedens umenneskelige apokalypse	I alle de jødiske apokalypser -- fortællinger om verdens undergang og paradisets oprettelse -- er der tale om et jordisk paradis	0
arbejde	Det er et stort arbejde at skrive den større opgave i 3. g	Askøy-broen udgør kun en del af omfattende arbejder i Bergen-området til godt to mia. norske kr.	1
arbejdstid	Min arbejdstid er 37 timer om ugen fordelt på 5 dage	Fra næste sommer skal lærernes arbejdstid lægges fuldstændig om og tælles op time for time	1
arrangement	Hver dag .. bød på arrangementer med musik, sang, teater og folkedans	Pladens titelnummer er voldsomt godt med en fin melodi og et flot arrangement	0
arrangement	vort arrangement med babysitter måtte ændres	arrangementer, der udelukkende er indgået for at spare skattekroner, kan underkendes	1
artilleri	dengang jeg lå der som soldat, ved artilleriet, da havde vi en kammerat i batteriet, han absenterede sig ustandselig	det er svært at forestille sig noget artilleri række 300 km	0
avl	avlen af rug, byg og især havre og hø var anselig	Peter er af egen avl, mens Chindareth .. er adoptivbarn	1
backinggruppe	Spejderlederne fortjener at vi som forældre stiller op som backinggruppe til deres arbejde med vores unger	Ray Charles backinggruppe, The Raeletts, både swinger og ser ud	0
bad	Når min mor er i bad, kan hun godt ligge der i op til flere timer	Piccolo Hotel er et lille (12 dobbeltværelser) familiehotel med bad og toilet til de fleste værelser	0
badminton	Martin skal hen og spille badminton med sine kammerater	Mixed double-rækken er i øjeblikket dansk badmintons håb og flagskib	0
badstue	En mand greb hurtigt en pøs vand og smed den på stenene, så ny damp bølgede op. Alle i badstuen .. trak sig længere ind i tågerne	Smeden havde tæsket hende med en lædergjord, fordi hun var blevet set på byens offentlige badstue	0
ballondans	Om det så var ballondans eller sæbebobler, der var på programmet, så var børnehavebørnene ivrige til at deltage	efter maden blev der afholdt forskellige konkurrencer, bl.a. ballondans	1
balsal	Efter et tryk på dørtelefonen .. lukkes vi ind i modehusets minimalistisk indrettede balsal af et forkontor	Inde fra balsalen ved siden af lød der blide, indsmigrende valsetoner	0
barn	I restauranterne .. hvor kunder under 16 regnes for børn, kan et barn spise fuld portion til halv pris	Indgang til badelandet koster 60,- kr. for voksne og 30,- kr. for børn	1
barriere	Langli var landfast med Ho-landet indtil en storm gennembrød barrieren i 1634	Et tæt lag af hår danner en barriere, så skadelige insekter, pupper eller larver ikke kan trænge ind i bladene	1
bassin	i midten af bassinet finder man meget finkornede aflejringer, lersten og skifer	Lyden af rindende vand virker meget beroligende, og derfor er der mange, der anlægger et bassin, evt. med springvand, i deres haver	0
behandling	jeg synes, det er noget svineri, at kommunen ikke giver os ældre en ordentlig behandling	efter meget få behandlinger hos fysioterapeuten gik min hovedpine væk	1
behandlingssted	efter en kortvarig sårdannelse heler behandlingsstedet op i løbet af et par uger	San Patrignano er i dag Europas største behandlingssted for stofmisbrugere	0
bekræfte	abonnenter skulle bekræfte, at de fortsat ønskede bladet	Da I blev døbt, sagde Gud god for jer -- og i dag ved jeres konfirmation, bekræfter han det	1
ben	Der stod en gammel seng derinde. Med skrævende ben og en skjoldet madras	alle danske stik skal være forsynet med tre ben -- det tredje er til jordforbindelsen	1
beskæftigelse	Regeringen er af den opfattelse, at beskæftigelsen kun reelt kan forbedres gennem en løsning af arbejdsmarkedets strukturproblemer	folk er usikre på, om de kan beholde deres beskæftigelse og indkomst	1
