form	sentence_1	sentence_2	label
CVU	Vejlederuddannelsen består for tiden af tre diplommoduler, der udbydes af et godkendt CVU	Flere institutioner organiseret som et CVU har en lokal forankring, men ingen forskningsforankring til fremme af den faglige kvalitet	1
abe	Talrige aber ser utålmodigt til fra trætoppene, og da vi rykker ind i hytten, kaster de sig over levningerne	chimpansen fandt ud af at sætte to stokke sammen til en, der var så lang, at aben kunne nå en banan uden for buret	1
absorbere	De første par dage vandrede vi rundt og lod vore sanser absorbere alle de nye indtryk	Når hvidt lys rammer en farvet genstand, absorberes en del af farverne -- mens andre kastes tilbage	0
acceleration	Ved frit fald nær Jordens overflade giver tyngdekraften konstant en acceleration på 9,81 m/s	bilen .. er særlig sikker under overhalinger, fordi accelerationen i fjerde og femte gear er usædvanlig god	0
advokat	Købers advokat udfærdiger skøde, pantebreve og refusionsopgørelse på grundlag af den underskrevne slutseddel	Den 39-årige advokat er ekspert i sø- og handelsret, samt i forsikringsret	1
afbalancere	Plastposen anbringes på en skålvægt som afbalanceres med lodder	hun smiler meget og til alle. Hun virker robust, afbalanceret	0
afbryde	hun ved, at Jesper er en god lytter, der sjældent afbryder	Far ringede lige og afbrød mig i mit skriveri	1
aflejring	De øverste jordlag vil ofte bestå af aflejringer med et indhold af organisk stof	Længere tids overdosering med jerntilskud kan føre til aflejring af jern i vævene	1
afluse	visse forældre vægrer sig ved at bruge de 200-300 kroner, det koster at afluse en familie med tre børn	Et panel af branchefolk og eksperter .. skal afluse hushandler for unødigt bureaukrati og udgifter for husejerne	0
afskære	Han og hans lillebror var under alle krigsårene afskåret fra forældrene, som boede i den anden ende af verden	Soldaten spurter af sted for at afskære os vejen	1
afsætte	Hen mod midten af november havde jeg fået afsat alle antikviteterne, med undtagelse af den ene af guldmønterne	I 1988 var der på statsbudgettet afsat 13,5 milliarder kr. til det danske forsvar	0
aftegning	Hjulsporene indskrænkes hurtigt til spredte aftegninger i det stenede landskab	jeg besluttede at beholde den lille sammenkrøllede seddel og min aftegning af dækmønstret	0
afvige	Kontantværdien vil ofte afvige fra ejendommens pris i prioriteret stand	Han afviger fra alle de andre ved sin alder og påklædning. Med den røde bluse og de korte bukser passer han slet ikke ind i billedet	1
agte	Desværre agtes husmorarbejdet .. ringe	Da vi giftede os .. mente man det, når man sagde ja til at ære og agte hinanden, til døden os skiller	0
aktivitet	der har været tidsrum i Jordens historie, hvor den vulkanske aktivitet var mange gange kraftigere end nu	I fremtiden vil alle koncernens aktiviteter blive samlet på fabrikken i Frederikshavn	0
alverden	faktisk virker en trofast hund mere beroligende end alverdens nervepiller	En flot kube-reol af bogkasser koster ikke alverden	0
andel	Aktionæren har som sådan en forholdsmæssig andel i selskabet	Obligationsserierne opdeles i andele på normalt 1000 kr.	1
anfald	I et anfald af julekådhed iførte vi os nissehuer	Alle ægtefolk får anfald af raseri og slynger de værste beskyldninger mod hinanden	1
angive	lægen havde på dødsattesten angivet lynnedslag som dødsårsagen	Dødeligheden angiver antallet af døde i forhold til antallet af personer i en gruppe	1
angivelse	Passet skal indeholde angivelse af pasindehaverens fulde navn	NKVD : det hemmelige politi spurgte sjældent om beviser. En anonym angivelse var nok til arrestation	0
anliggende	Det bliver mit og kun mit anliggende at afskedige ham	Det er vigtigt, at etik ikke kun bliver et anliggende for humanistisk forskning. Etik er for alle	1
annoncere	skove af skilte annoncerer med fristelser for svage svenskere med stærk valuta på lommen	Annelise Wolf havde sine Cairnterrier-hvalpe annonceret til salg i avisen	1
annoncering	Mange firmaer har et reklamebureau til at varetage annonceringen af deres varer	Klokken 19.15 får publikum de sidste instrukser om at være stille under annonceringen af indslagene	0
ansigt	Jeg vil godt se deres ansigter, når vi tager de nye våben i brug	Hans ansigt var én stor undskyldning	1
anspændt	Forholdet mellem Slovenien og Serbien er .. anspændt	Da vi fik vores første, var jeg nok mere anspændt, end da vi ventede Martin	0
antal	der .. kræves et antal på tolv deltagere for oprettelse af et hold	Berammede tvangsauktioner falder i antal	1
antracit	den grå farve kommer i flere og flere nuancer, der spænder lige fra den lyse, næsten hvide, til den mørke antracit, der ligger lige op og ned ad den sorte	Efterårets farveskala er i de mørke farvetoner som aubergine, antracit og marine	1
appetizer	Han lader personalet følge gæsten fra og til døren, sørger for en lille appetizer, mens man læser spisekort m. v.	Som appetizer får man hummermousse, rullet med japansk tang	1
arbejdsbi	kun pertentlige tyske arbejdsbier kan lave lakken på bilen ved at slibe, sprøjte og polere i en uendelighed	arbejdsbierne bearbejder vokset med deres spyt og oplagrer den i vokstavlernes små celler	0
ark	Digtet fyldte hele det lille lyserøde ark papir, og det var skrevet med omhyggeligt prentede tegn	Akvarelpapir fås både i løse ark og i blokke i forskellige formater	1
arve	Synes du du har arvet nogle evner efter din mor?	Vita havde arvet forældrenes møbler sammen med huset	0
autoritet	hans salmedigtning var præget af stor autoritet og selvstændighed	hun var nødt til at sætte al sin autoritet ind på den rette opdragelse af sønnen	0
avle	Vi avler nogle af verdens bedste grønsager i Danmark -- men selv spiser vi alt for få	Københavns zoologiske have skal nu være med til at avle løvesilkeaber	0
bag	Tante Louise løftede bagen en smule og slog en lille prut	Enlige heste stod med bagen mod vejret	1
bagatel	Ingen ville prutte om bagateller. Køber såvel som sælger vidste hvad en hest var værd	Hesten kostede en bagatel af 10 mio. kr.	1
bambus	Efter blomstring og frøsætning dør bambussen	Kurve flettet af bambus bruges overalt i Sydøstasien	0
bande	nu hælder jeg mest til en løsning, der hedder at fyre hele banden	I S-toget hjem delte hun kupé med en hel bande kåde skolepiger	1
banke	hun bankede med teskeen på det blødkogte æg for at få skallen itu	han får maden galt i halsen, og moren må banke ham på ryggen	1
bankforretning	Det er første gang, en pensionskasse driver bankforretning	et homebanking-system er et system, der giver kunderne mulighed for at udføre bankforretninger fra dagligstuen	0
barn	hvis du er gravid, skal du for din egen og for barnets skyld hele vejen igennem holde din krop i form	De kontakthæmmede, pertentlige, udi egen opfattelse ufejlbarlige mænd er på bunden børn	0
barriere	Langli var landfast med Ho-landet indtil en storm gennembrød barrieren i 1634	Et tæt lag af hår danner en barriere, så skadelige insekter, pupper eller larver ikke kan trænge ind i bladene	1
bedested	Få minutter fra autobanerne finder man hyggelige bedesteder i de små landsbyer, hvor maden og betjeningen er i top	resterne af den vestlige tempelmur .. er jødernes helligste bedested, den såkaldte grædemur	0
bedrift	Vikingernes bedrift bliver større, når man tænker på, at de ikke kendte kompasset	75 pct. af den samlede svineproduktion forventes at finde sted på bedrifter med 50 søer og derover	0
begynde	Hun flyttede til Århus og begyndte på arkitektskolen	Jeg begyndte som arbejdsdreng i et malerværksted	1
begå	Den norske litteraturforsker og slavist Geir Kjetsaa har begået en storslået biografi om Dostojevskij	Det er noget vrøvl. Jeg har ikke begået aftalebrud, siger ministeren	0
bekendt	Som 15-årig kom han i lære som murer hos en bekendt af forældrene	Jeg har ingen venner. Kun bekendte	1
belaste	når han nu kunne klare sig selv, og ikke belastede kommunens kasse, så var det jo i orden	Kontoret har været belastet af en del intern ballade	0
belægge	Stierne skal ikke belægges med fliser, men med en klar blanding af ler og grus	deres 10-12 halve humpler rugbrød var overvejende belagt med margarine og et tyndt lag leverpostej	0
beregne	Man beregner to pæne stykker torsk pr. mand	Jeg har beregnet 10 cm til ombuk	1
besidde	Han besidder alle de kvaliteter, en god ishockeyspiller skal have	mennesket besidder evnen til selv at træffe et fornuftigt valg	1
beskatte	vi har fået gennemført .. at afkast af opsparing altid kun beskattes med 50 %	hedvin .. hører med i gruppen, som foreslås beskattet med 12,60 kr. pr. liter	1
beskrive	I brevet beskrev hun i begejstrede vendinger sin ny lejlighed	Gerningsmanden beskrives som 20-35 år, 1,70 meter høj og almindelig af bygning	1
beskytte	olien havde udover duften også den virkning, at den beskyttede huden mod den stærke sol	med paraplyen prøvede hun at beskytte sin lyserøde dragt mod regnen	1
beskyttelse	Dec. 1983 blev Arafat og hans styrker evakueret fra Libanon under USAs og FNs beskyttelse	en blød farvet dagcreme, som yder stor beskyttelse mod lysets skadelige stråler samt kulde, vind og snavs	1
bestille	Skal du ikke bestille andet end at læse hele dagen?	Politiets små, brune kranvogne får virkelig bestilt noget	1
bestille	Forsikringen skal tegnes samtidig med at rejsen bestilles	vinduespudseren blev bestilt til at rengøre samtlige husets vinduer	1
bestilling	forleden fik vi en bestilling på otte billetter fra Santiago i Chile	Der vil dog være åbent i billetkontoret daglig fra kl. 17-20 til bestilling og afhentning af bl.a. arrangementsbilletter	0
besættelse	den kærlighed, han følte for mig, var stærkere og mere ægte end den besættelse, der knyttede ham til Lilia	Samtidig fandt besættelsen af Norge sted. Den skulle ikke gå helt så glat som besættelsen af Danmark	0
betonblok	Overalt flyder det med betonblokke, jernstænger, flasker og dåser	menneskene .. forvistes til omegnskommunernes betonblokke, hvor de rekreative muligheder var parkeringspladserne, centeret og motorvejen	0
bevidsthed	bevidstheden hører mennesket til, og resten af verden er død, det vil sige foreligger som objekter for bevidstheden	Stalin kom i befolkningens bevidsthed til at stå som selve nationens frelser	1
bide	Jeg skar hele skiver af smørret og smækkede det på brødet og bed af silden	En lille griseunge er nær ved at blive bidt ihjel af sin mor, da Emil griber ind	1
binde	Han bandt hendes hænder på ryggen, så hendes fødder, og endelig strammede han rebet om hendes hals	Når din tomatplante er 30-40 cm høj, skal den bindes op	1
binde	de gamle fiskere sad og bandt deres garn, men senere kom jo så netfabrikkerne	faktisk er det muligt at binde kranse med alverdens forskellige ting	1
blanding	Mørtel fremstilles ved blanding af brændt kalk, grus og vand	Fordel saucen over jordskokkerne og drys en blanding af lige dele reven ost og rasp over	0
blank	12 stemmesedler var blanke	Han bladrer om til en blank side, og begynder at skrive	1
blikkasse	Inde i hulen var der et bord og nogle kasser til at sidde på og en lille ovn, som var lavet af en blikkasse	Bil er måske så meget sagt om den blikkasse, der skulle transportere os ind til centrum	0
blinke	langt ude blinker lys fra skibe og kendingsmærker	Solen blinkede i vandet	1
blok	Han skubbede en blok hen foran sig og begyndte at skrive ned	De store blokke der ligger hulter til bulter den sidste km op i passet er vanskelige at gå på	0
blomst	De 10-20 cm høje stængler : på vintergæk bærer graciøst en enkelt nikkende, hvid blomst	Der voksede grønt græs, og bierne summede af sted i solskinnet fra blomst til blomst	1
blomst	Han havde været oppe hos gamle fru Aldermann med blomster og en flaske solbærlikør	Det var en nydelig jakke med brune og rosa blomster på lilla bund	0
bløde	han blødte fra en flænge i hovedet	En rift fra barberingen var igen begyndt at bløde	1
bo	Der bor ca. 40 millioner mennesker i Burma	Agrippa havde en hemmelighed. Det var et firben. Det boede under hans seng	1
bogstav	Alfabetet består af 29 bogstaver, som inddeles i 2 grupper: selvlyde og medlyde	Hun havde lettere ved at lære bogstaver end tal	1
bold	Det er verdens sødeste pige, og hun er tilpas skør i bolden til at være ellevild med dig	Solen voksede fra en lille hvid kugle til en stor orangefarvet bold, som langsomt sank ned bag bjergene	0
bonde	De fleste danske nedstammer fra bønder	En bonde med kvæg og korn på marken var en anset mand	0
borgerlig	Den borgerlige livsform lægger vægt på de gamle dyder som flid og værdighed. Man skal passe sit arbejde og sine forpligtelser	Det at være domsmand eller nævning er et såkaldt borgerligt ombud, som man ikke uden videre kan fritages for	0
bredbånd	Et højkvalitets tv-billede kræver en kapacitet, som er mere end 1.000 gange højere end en talekanal ? det er bredbånd	Danmark skal have en 100 pct. dækning med bredbånd hurtigere end de 10 år, som IT- og Telestyrelsen hidtil har vurderet til horisonten tidsmæssigt	1
bringe	Nu er det virkelig lykkedes Dem at få bragt mig i syv sind, sukkede Jack	Hun smurte et antal madder og bragte dem ind på bordet i pejsestuen	0
bro	Drengene sidder nede på broen, hvor de venter på båden, der skal sejle dem tilbage	Det er skægt at springe i fra broen og dykke efter muslinger	1
brugsforening	Som det er gået med en lang række af Danmarks små brugsforeninger, er der også i Nødebo Brugsforening et voksende underskud	jeg havde taget sådan et afløserjob oppe i brugsforeningen	0
bryde	den store prismekrone .. bryder solens stråler i forskellige farver	for børn generelt er det .. godt at bryde en stillesiddende dag med bevægelse	0
bryg	I dampene kom Maj til at ligne en heksedatter, som var ved at tilberede et giftigt bryg	Det lokale bryg fra Thisted Bryghus, Thy-pilsner er en yndet drik, selvom der naturligvis også bliver indtaget Tuborg og Carlsberg	0
brøle	Sofie brølede, da vi atter var i køkkenet. For i forstuen smak jeg hende en rungende øretæve	Se dig for, klaptorsk! brølede manden	0
bue	Hendes læber var fyldige og buede opad	den store båd gled ind under en buet bro	1
bukke	til reparation af beskadigede karme kan der monteres jernplade-forstærkninger, som bukkes i karmtræets profil	Stoffet bukkes 2 cm om hele vejen rundt og sys	1
bule	tapetet .. havde løsnet sig og bulede ud fra væggene	Hans lidt tunge mave buler ud over cowboybukserne	1
bunke	Sneen lå i bunker langs fortovene, porøs og beskidt	Hvem har smidt en bunke tøj her?	1
by	udgangsforbuddet fik hele byen til at gå i strejke	Jeg elsker Danmark og kender ikke en smukkere by end København	0
bydreng	Direktørerne i de nationale supermarkedsafdelinger er bydrenge for kapitalen udenfor Essen	dengang susede alle bydrengene af sted på en Long John med kartofler fra gartneren eller med sukker og mel fra købmanden	0
bygningsfejl	det er muligt at korrigere for langsynethed og bygningsfejl	hans knæled var deforme -- en bygningsfejl han havde efter faderen	1
bænkevarmer	det var mændene der skulle bestemme om man skulle ud at danse .. jeg var den typiske bænkevarmer, fordi jeg var for tyk	Flemming Povlsen har .. ikke lagt skjul på sin skuffelse over kun at være bænkevarmer i den tyske Bundesliga-klub	0
bøde	2000 kr. i bøde fik en bilist, der p.gr.a. ulovlige dæk var skyld i, at en anden bilist blev dræbt	jeg har fået en bøde fra foreningen på 100 kr. for for sent indbetalt kontingent	1
bøjle	En undersøgelsesbriks er forsynet med et par bøjler til knæhaser eller fødder	heldragt : badedragt af bomuld/lycra med bøjle i BHen. Sådan en bøjle giver fin pasform og flot barm	1
bøn	En nonne i sort knæler og beder en bøn for, at vi ikke må brænde op i helvede	Hendes spørgsmål var ikke et spørgsmål, men en bøn om at gå med op på kvistværelset	0
børs	Aktiekurserne på børsen i Tokyo er på ti dage steget med 25 procent	Det er sandsynligt, at Danisco i løbet af en kort årrække vil søge notering på flere udenlandske børser	1
chauffør	Der holdt en taxa med motoren kørende .. Julie satte sig ind på bagsædet og gav chaufføren adressen	Annette er med som chauffør, men holder sig ellers i baggrunden	0
cocooning	cocooning ? som var populært i de sene firsere og tidlige halvfemsere ? er et forsøg på at undslippe den grumme verden ved simpelt hen at blive hjemme	cocooning er det nyeste amerikanske ord for at indhylle sig ? forpuppe sig ? i en hyggelig skal. Man skærmer og beskytter, præcis som man gør, når man kryber sammen foran pejsen eller i sofaen med en bog	1
creme	Lokalet er lyst og venligt, farverne er holdt i gylden, blå og creme	Spisestuen var tidligere malet lyserød, men er nu creme	1
cykeltur	Vi havde aftalt, at vi skulle på cykeltur og overnatte på vandrerhjem	Jesu vej til Golgata kaldes smertens vej. Det døber jeg også min halv time lange cykeltur ud mod Sydhavnen	0
dag	netværket har virket upåklageligt fra dag 1	Jeg sov hele næste døgn og var halvsløj i endnu et par dage	1
dagsorden	Folketinget vedtog en motiveret dagsorden, der opfordrede regeringen til at fortsætte arbejdet, som .. er nedfældet i regeringens handlingsplan for ligestilling fra 1986	det skal huskes, at folketingsflertallet i en dagsorden har pålagt regeringen at lette kommunernes muligheder for at fjerne ventelister	1
danne	Gruppen der er dannet af Annie Larsen, synger på dansk med engelsk klingende lyd	en smule fugt på ydersiden af tændrørskablerne kan kortslutte tændrørene, så der ikke dannes gnister	0
dans	De fleste mennesker har på stille sommerdage set dansemyggesværme i yndefuld dans over en sø eller en dam	De fleste af dansene har .. været brugt som balletmusik	0
dans	Jeg har sjældent set en dans, der har tændt folk så meget som lambadaen	Laila ventede på, at Jens skulle bede hende om en dans	1
dansken	Når vi er i selskab med udlændinge, vil vi da ikke sidde og tale dansk men vælge et sprog, gæsterne forstår	Hans gebrokne dansk lød pudsigt, selv om det var fuldt forståeligt	1
