form	sentence_1	sentence_2	label
A-hold	De, der er på det såkaldte A-hold, glemmer for ofte, at vi ikke alle er lige stærkt udrustede	Klubbens A-hold tabte finalekampen i A-rækken til Marienlyst, men er klar til de næste udfordringer	0
ADHD	De hyperaktive, impulsive og uopmærksomme børn, som går under diagnosen ADHD, klarer sig meget dårligt som voksne. Næsten halvdelen bliver kriminelle, og de har en voldsom overhyppighed af psykiatriske indlæggelser og tvangsindlæggelser	for tidlig fødsel kan være med til at udløse ADHD både hos de børn, som er genetisk disponerede og hos de børn, hvor det ikke er tilfældet	1
C	populære programmeringssprog som PASCAL og C har fået indbygget objekt-orienteret programmering	Læreren spiller 8 slag .. på xylofon op ad tonerækken fra første tone C	0
CVU	Vejlederuddannelsen består for tiden af tre diplommoduler, der udbydes af et godkendt CVU	Flere institutioner organiseret som et CVU har en lokal forankring, men ingen forskningsforankring til fremme af den faglige kvalitet	1
EU-sprog	Folkepension regnes simpelthen for en handelshindring, som det hedder i EU-sprog	Opgaven viste sig vanskelig, fordi mange forslag ikke umiddelbart kunne oversættes til alle de nuværende 11 EU-sprog	0
X	Hun fulgte efter fru X hen ad gangen, ind i et af værelserne	MEXX-navnet er en kombination af forbogstaverne på Chadhas tidligere mærkevarer Moustache og Emanuelle tilsat to store Xer	0
abe	Erhvervsministeren afviser beskyldninger om nøl i Dankort-sagen. Derimod sender han aben videre til bankerne, som han beskylder for at være for grådige	han trådte helt hen til Uffe og holdt en knytnæve op foran ham. -- Ska du ha tæsk, din lille abe	0
abekat	I volierer holdt man abekatte og kaniner og papegøjer og andre fugle	han omtalte de indfødte aboriginaler som sorte abekatte uden kultur eller ret til at leve i en hvid verden	0
absorbere	De første par dage vandrede vi rundt og lod vore sanser absorbere alle de nye indtryk	Når hvidt lys rammer en farvet genstand, absorberes en del af farverne -- mens andre kastes tilbage	0
abstrakt	der var ingen fiktive figurer i manuskriptet, kun abstrakter, fortælleren og læseren	Inden for fysik produceres primært abstrakt, teoretisk viden	0
acceleration	Ved frit fald nær Jordens overflade giver tyngdekraften konstant en acceleration på 9,81 m/s	bilen .. er særlig sikker under overhalinger, fordi accelerationen i fjerde og femte gear er usædvanlig god	0
acceptere	Det kan være meget svært for mænd at acceptere, at de er ved at blive skaldede	vil de ansatte acceptere kortere arbejdstid uden fuld lønkompensation?	0
adgang	hvis alle kvinder havde adgang til prævention, ville børnetallet falde med 38 pct.	et demokratisk samfund forudsætter lige adgang til uddannelse, bolig og arbejde	1
adgang	Det eneste rigtige er naturligvis at kontrollere billetter og kort ved adgangen til perronerne	I fem uger om efteråret har publikum adgang til parken	0
adlyde	soldatens første pligt er at adlyde enhver lovlig ordre	drømme adlyder kun deres egen logik	0
administration	Pladsanvisningen varetager administrationen af ventelisterne	Under den kolde krig støttede skiftende amerikanske administrationer ihærdigt Jugoslaviens selvstændighed	0
adressat	Der er travlhed på posthuset .. i disse dage. De mange julebreve skal ud til adressaten inden jul	Lederartiklen har to adressater: 1) Avisens læsere i bred almindelighed, 2) .. beslutningstagere, f.eks. politikere og embedsmænd	0
adressere	Brevet var adresseret til mig, jeg tror det kom på min femårs fødselsdag	hver af deltagerne får et skud, men det skal være et gæt, og man må adressere det til hvem som helst i panelet	0
adskille	værkstedet adskilte, rensede og smurte bremserne	det lave, næsten hvide asketræsbord .. adskilte de to sofaer	0
adskillelse	det kunne tyde på, at karret før adskillelsen har været længe i brug	Jeg tog til Paris for at se Michel igen efter fire års adskillelse	0
adskillig	Nogle af husene .. er overtaget af yngre mennesker, der bruger adskillig fantasi og mange penge på at gøre dem i stand	Det lader til, at der er foregået adskilligt på denne afdeling, som jeg har været uvidende om	1
advare	Da Gud havde skabt Adam, advarede han ham .. mod at spise æblerne på Kundskabens Træ	Politiet har advaret om, at det vil slå til over for demonstrationer, der ikke er lovligt varslet	1
advare	de nye sirener .. skal advare folk i tilfælde af større katastrofer	Gerda måtte advare ham om at stolene havde det med at kollapse	1
advarsel	Mange af oprørerne blev halshugget. Deres hoveder blev udstillet på pæle som en advarsel for andre	så får Torben Frank minsandten en advarsel af den efterhånden mere og mere håbløse østrigske dommer	0
advokat	Jeg er vist ikke nogen god advokat for min videnskab, sagde arkæologen	Købers advokat udfærdiger skøde, pantebreve og refusionsopgørelse på grundlag af den underskrevne slutseddel	0
